date,2330,2412,1216,2881,2884,SPY,TLT,GLD
2019-04-08,253.0000,108.5000,74.1000,45.3500,23.9500,7969.4499,3059.2288,3771.9604
2019-04-09,254.0000,109.5000,73.9000,45.7500,24.0000,7933.5030,3070.7756,3794.0053
2019-04-10,254.0000,109.5000,73.5000,45.5000,24.0000,7962.8877,3079.1052,3806.8239
2019-04-11,252.0000,109.0000,72.4000,45.5500,23.9000,7966.1014,3063.1047,3760.6939
2019-04-12,252.0000,109.5000,73.5000,45.7000,23.8500,8023.6430,3042.6678,3758.6991
2019-04-15,255.5000,109.5000,73.6000,45.7000,24.0000,8012.6697,3048.1848,3748.9279
2019-04-16,257.0000,110.0000,73.6000,45.3000,23.9000,8024.1633,3031.4547,3718.2156
2019-04-17,261.5000,109.5000,72.8000,45.2000,23.9500,8006.8653,3033.5809,3712.2017
2019-04-18,264.5000,110.0000,71.1000,45.0000,24.0000,7996.3755,3039.4811,3702.8219
2019-04-22,266.0000,110.0000,71.7000,45.2500,24.2000,8014.9747,3029.3146,3708.2386
2019-04-23,268.0000,110.5000,72.0000,45.3500,24.2500,8095.7062,3039.0073,3704.5009
2019-04-24,269.0000,110.5000,72.0000,45.4000,24.2500,8081.4053,3065.1907,3716.9814
2019-04-25,267.5000,110.5000,71.4000,45.2000,24.2500,8094.7533,3067.6696,3728.5066
2019-04-26,260.0000,110.5000,72.0000,45.5000,24.7500,8132.1848,3078.0118,3753.1246
2019-04-29,259.5000,111.0000,72.8000,45.7000,25.4000,8139.4038,3056.2942,3733.8888
2019-04-30,259.0000,111.0000,73.4000,45.6000,25.3500,8140.9235,3070.9531,3744.1103
2019-05-02,259.0000,111.0000,73.7000,46.4000,25.5000,8066.2025,3070.4269,3706.9856
2019-05-03,265.0000,111.0000,73.8000,46.1500,25.3000,8140.6706,3077.4489,3726.8785
2019-05-06,259.0000,110.5000,73.1000,45.6000,25.0000,8108.4838,3086.4087,3732.4249
2019-05-07,262.5000,110.5000,74.0000,45.4000,25.1500,7976.9439,3111.5665,3746.6011
2019-05-08,260.0000,111.5000,76.4000,45.0500,25.1000,7972.8222,3100.8241,3740.5928
2019-05-09,256.5000,110.0000,76.5000,44.6000,25.0000,7950.7543,3114.3399,3750.5339
2019-05-10,256.0000,110.0000,77.3000,44.6000,25.0000,8005.4143,3115.8305,3764.5730
2019-05-13,250.5000,110.0000,77.7000,43.8000,25.2000,7787.8696,3133.7237,3795.0418
2019-05-14,248.5000,111.5000,78.2000,43.1500,25.0000,7900.9760,3141.4685,3809.1182
2019-05-15,249.0000,110.5000,77.7000,43.2500,25.1500,7955.9423,3164.2193,3811.1022
2019-05-16,247.0000,110.5000,76.8000,42.0000,25.1000,8013.8947,3147.5050,3776.2877
2019-05-17,241.5000,111.0000,78.8000,41.9000,25.1500,7989.7539,3165.4795,3762.5910
2019-05-20,238.0000,111.5000,80.0000,41.9000,25.5000,7982.7363,3177.1786,3783.9941
2019-05-21,234.0000,112.5000,81.4000,43.0500,26.2000,8058.3030,3173.5409,3776.8967
2019-05-22,238.0000,112.0000,79.5000,42.5000,26.0500,8033.5479,3191.7425,3773.1310
2019-05-23,230.0000,112.0000,80.0000,42.5000,25.9500,7953.8490,3235.1511,3811.1598
2019-05-24,233.0000,112.0000,80.0000,42.0000,26.1000,7987.3535,3244.2174,3822.6483
2019-05-28,230.5000,111.5000,81.4000,42.3000,26.6500,7897.7489,3261.2514,3800.4659
2019-05-29,229.5000,112.0000,81.0000,42.4500,26.6000,7868.1959,3280.9100,3813.0861
2019-05-30,231.0000,112.5000,80.1000,42.6000,27.2000,7906.9411,3316.3582,3847.3510
2019-05-31,235.5000,112.5000,81.3000,43.2500,27.4000,7790.7718,3353.7362,3894.3914
2019-06-03,238.0000,113.0000,80.9000,43.6500,27.2000,7757.4243,3370.2883,3943.7174
2019-06-04,233.0000,113.0000,80.9000,43.9000,27.4000,7889.1009,3316.4294,3926.7064
2019-06-05,235.0000,113.5000,81.5000,43.1000,27.2500,7944.7547,3292.4300,3930.4733
2019-06-06,232.0000,113.5000,81.2000,43.1500,27.4000,7989.5272,3300.2051,3939.9180
2019-06-10,240.0000,114.0000,82.0000,44.1500,27.3000,8120.7549,3303.2192,3929.5969
2019-06-11,244.5000,113.5000,80.6000,44.4500,26.5500,8127.0765,3308.6186,3928.8994
2019-06-12,246.0000,113.0000,80.3000,44.3500,25.8000,8106.7825,3308.7270,3946.4065
2019-06-13,240.0000,113.0000,81.8000,43.6500,25.5500,8156.8430,3326.8939,3978.6582
2019-06-14,236.0000,112.5000,80.6000,43.5500,25.9000,8158.4623,3339.6172,3982.5901
2019-06-17,233.0000,112.0000,79.9000,44.1000,25.9000,8168.0471,3348.1190,3983.2347
2019-06-18,235.5000,112.0000,80.4000,44.5000,25.9500,8249.1182,3363.0821,4001.2292
2019-06-19,244.0000,113.5000,81.2000,44.8000,26.3500,8212.3148,3345.3337,3998.4808
2019-06-20,245.0000,112.5000,81.8000,44.6500,26.3000,8249.6776,3337.5392,4078.8322
2019-06-21,248.5000,113.5000,82.3000,44.4500,26.2500,8175.4603,3275.9366,4074.8824
2019-06-24,241.0000,114.0000,82.2000,44.9000,26.5000,8183.9608,3307.8442,4144.7733
2019-06-25,238.5000,114.0000,82.0000,44.9000,26.4500,8075.1494,3306.4002,4138.1912
2019-06-26,234.5000,114.0000,81.4000,45.4000,26.3000,8102.1518,3299.5173,4118.0808
2019-06-27,240.5000,113.5000,82.0000,45.8000,26.3500,8119.0666,3317.9399,4108.0768
2019-06-28,239.0000,113.0000,82.7000,45.8500,26.0000,8151.3458,3311.8333,4114.4147
2019-07-01,248.5000,113.0000,81.5000,46.2500,26.0000,8222.6843,3303.0197,4033.4148
2019-07-02,249.0000,113.5000,81.3000,46.2500,25.9000,8263.8566,3336.4725,4129.4397
2019-07-03,242.5000,113.5000,81.6000,46.1000,26.1000,8333.9616,3361.8877,4138.2540
2019-07-05,243.0000,113.5000,82.0000,44.3000,26.4500,8336.5771,3322.1181,4098.0579
2019-07-08,242.5000,114.0000,81.8000,44.2000,26.3500,8332.4722,3343.3683,4092.1779
2019-07-09,242.0000,113.5000,82.9000,44.0500,26.2000,8340.4511,3341.1414,4105.3300
2019-07-10,247.0000,113.5000,82.0000,44.3000,26.5000,8371.9634,3319.4376,4165.9941
2019-07-11,250.0000,113.5000,83.0000,44.2000,27.2000,8366.2491,3265.2309,4118.3444
2019-07-12,250.5000,113.0000,82.0000,43.9500,27.3500,8383.6669,3261.2016,4134.2224
2019-07-15,254.5000,112.5000,82.4000,43.8500,27.5000,8411.1034,3289.6255,4146.3735
2019-07-16,256.0000,111.5000,82.2000,44.0000,27.3500,8365.0805,3272.4360,4102.0167
2019-07-17,252.0000,112.0000,82.2000,43.5000,27.1500,8313.7864,3310.0140,4172.3838
2019-07-18,254.0000,112.0000,81.2000,43.4500,27.2000,8343.6813,3310.0499,4231.0163
2019-07-19,259.0000,112.0000,81.8000,43.5000,27.5000,8270.3046,3291.5185,4155.1230
2019-07-22,264.0000,112.5000,81.6000,43.6000,27.9500,8326.0319,3311.8553,4172.2522
2019-07-23,264.0000,112.0000,80.9000,43.5500,28.1000,8388.8065,3295.0564,4150.2725
2019-07-24,265.0000,112.0000,81.3000,43.4500,28.1000,8419.0002,3305.7445,4166.8136
2019-07-25,265.0000,107.0000,82.4000,43.9000,26.3000,8400.9361,3298.6407,4148.2945
2019-07-26,261.0000,107.5000,81.3000,43.5000,26.1500,8435.4653,3297.9297,4144.4435
2019-07-29,261.0000,107.5000,80.3000,43.5500,25.8500,8439.1056,3306.3794,4181.4615
2019-07-30,260.0000,107.5000,80.0000,43.5000,25.6500,8403.4957,3308.5609,4188.0244
2019-07-31,259.5000,108.0000,80.8000,43.2000,26.0000,8310.4870,3334.7352,4132.5741
2019-08-01,256.5000,107.0000,77.1000,42.9000,25.6000,8271.0492,3414.5561,4248.7623
2019-08-02,251.5000,107.0000,76.8000,42.3500,25.2500,8250.9402,3463.8138,4254.3081
2019-08-05,246.5000,107.5000,77.0000,42.0000,25.0000,8039.3623,3539.7939,4333.4954
2019-08-06,248.5000,106.5000,76.6000,41.7000,25.0000,8215.3425,3595.7698,4402.6137
2019-08-07,248.0000,106.5000,76.7000,41.6500,24.9500,8150.9475,3566.7497,4431.8357
2019-08-08,253.5000,107.5000,78.2000,41.9000,25.2500,8309.2818,3573.7082,4453.2981
2019-08-12,251.0000,107.5000,78.3000,41.9000,25.1500,8137.9510,3634.5677,4473.7326
2019-08-13,246.5000,107.0000,78.0000,42.3000,24.9500,8280.8453,3629.2702,4455.8617
2019-08-14,249.5000,107.0000,77.7000,42.0500,25.0500,7950.5976,3671.5985,4438.6685
2019-08-15,248.0000,106.5000,76.5000,41.9000,24.9500,8039.2857,3743.9447,4506.1445
2019-08-16,250.0000,108.0000,77.5000,43.1500,25.1000,8124.0843,3698.5558,4458.7339
2019-08-19,252.0000,107.5000,77.0000,43.3500,25.4000,8241.1815,3654.1812,4416.8842
2019-08-20,254.5000,107.0000,77.8000,42.9000,25.2500,8190.8334,3697.7609,4458.2838
2019-08-21,254.5000,107.5000,77.0000,42.9000,25.0000,8247.4631,3668.6607,4438.7890
2019-08-22,254.0000,107.0000,75.9000,43.1000,24.8500,8237.0236,3640.8055,4423.2746
2019-08-23,254.0000,107.5000,76.5000,43.1000,24.9500,8030.5621,3703.0081,4512.8093
2019-08-26,248.5000,107.0000,75.8000,43.0000,24.7500,8149.7261,3701.8252,4530.3058
2019-08-27,250.0000,107.5000,75.0000,43.5000,24.9000,8106.1176,3753.4822,4567.1135
2019-08-28,252.0000,108.0000,75.2000,43.7000,24.9500,8151.2283,3752.8016,4547.5725
2019-08-29,254.0000,108.5000,76.2000,43.1500,24.9500,8275.3717,3747.6542,4525.9442
2019-08-30,259.0000,109.0000,76.6000,43.6500,25.2500,8236.6638,3732.7967,4495.2062
2019-09-03,254.0000,109.5000,75.8000,43.2500,25.5000,8212.0647,3748.3769,4570.8658
2019-09-04,257.5000,110.0000,76.6000,43.4500,25.3000,8302.6313,3752.7818,4597.9378
2019-09-05,263.0000,110.0000,77.5000,43.9500,25.3500,8360.2765,3663.3074,4461.3874
2019-09-06,263.5000,110.0000,77.1000,44.0000,25.5000,8367.2711,3689.6111,4423.6464
2019-09-09,265.0000,110.5000,77.8000,44.5500,25.9500,8374.4336,3625.3419,4408.6815
2019-09-10,261.5000,111.0000,77.0000,44.9000,26.5000,8370.8593,3561.1127,4370.1112
